name,name_simbadable,ref_discovery,J_2MASS,W1,spt_ir,ra_j2000_formula,dec_j2000_formula,source_j2000_formula,glon_j2000,glat_j2000,2 deg,4 deg,6 deg (Kepler),8 deg,10 deg,12 deg (TESS 1 detector),14 deg,16 deg,18 deg,20 deg
Gaia J062317.14+263131.8,2MASS J06231714+2631320,Kirk21,14.664,12.197,L3 pec,95.8214,26.5255,Gaia23,186.1887,6.0889,0,0,1,2,3,4,10,15,17,20
2MASSI J1029216+162652,2MASSI J1029216+162652,Kirk00,14.294,12.199,L2.8,157.3404,16.4478,Gaia23,223.5001,55.4716,0,0,5,8,11,17,22,29,39,46
2MASSI J0825196+211552,2MASSI J0825196+211552,Kirk00,15.1,12.2,L7 pec,126.3317,21.2643,Gaia23,202.7506,29.7175,0,3,6,11,15,22,28,33,35,40
2MASSW J0208183+254253,2MASS J02081833+2542533,Kirk00,13.989,12.201,L1.5,32.0766,25.7148,Gaia23,143.8935,-34.0087,3,6,8,10,12,15,23,29,38,40
DENIS-P J1048278-525418,DENIS J104827.8-525418,Phan08a,14.016,12.206,L0.5,162.1161,-52.905,Gaia23,284.8847,5.6033,1,1,1,2,2,2,2,4,6,11
2MASS J13595510-4034582,2MASS J13595510-4034582,Reid08b,13.645,12.211,L2 beta,209.9796,-40.5829,Gaia23,316.7358,20.4461,0,1,1,4,4,6,9,13,14,17
PSO J318.4243+35.1277,PSO J318.4243+35.1277,Alle16a,14.292,12.212,L0.9: INT-G,318.4239,35.128,Gaia23,80.5478,-9.2637,0,0,1,2,3,4,5,9,11,12
2MASS J05301261+6253254,2MASS J05301261+6253254,Reid08b,14.053,12.222,L1.1,82.5525,62.8904,Gaia23,149.2424,15.3752,0,2,2,3,4,4,4,7,10,13
2MASS J06022216+6336391,2MASS J06022216+6336391,Reid08b,14.266,12.234,L1.7 FLD-G,90.5924,63.6108,Gaia23,150.2644,18.9307,0,3,4,4,4,6,7,7,11,13
DENIS-P J090957.1-065806,DENIS J090957.1-065806,Delf99b,13.89,12.237,L0:,137.4895,-6.9718,Gaia23,237.0252,26.5303,1,1,1,1,4,12,19,27,31,35
DENIS J020529.0-115925,DENIS J020529.0-115925,Delf97b,14.587,12.248,L5.5::,31.3724,-11.9916,Gaia23,175.4647,-66.9635,0,1,2,7,13,16,23,26,33,45
2MASS J15485834-1636018,SIPS J1548-1636,Kend07a,13.891,12.256,L2:,237.243,-16.6006,Gaia23,352.7261,28.6376,0,0,2,11,18,24,28,35,40,46
2MASS J11263991-5003550,DENIS J112639.9-500355,Folk07,13.997,12.26,L6.5:: pec,171.6658,-50.0652,Gaia23,289.2782,10.5457,0,0,0,2,2,4,9,10,13,14
2MASS J00145575-4844171,2MASS J00145575-4844171,Kirk08;Mart10,14.05,12.276,L2.5,3.7324,-48.738,Gaia23,318.6354,-67.262,0,0,1,2,7,13,18,24,28,33
2MASS J07231462+5727081,2MASS J07231462+5727081,Reid08b,13.97,12.28,L0.2,110.8109,57.4522,Gaia23,159.5773,26.7826,1,1,1,1,4,11,16,22,27,29
SSSPM J0109-4955,SSSPM J0109-4955,Lodi05b,13.546,12.285,L1,17.2883,-49.9148,Gaia23,295.6323,-66.9616,0,1,1,4,9,10,18,24,27,34
2MASSI J1430435+291540,2MASS J14304358+2915405,Wils03,14.273,12.285,L0.5,217.6815,29.2613,Gaia23,44.3504,68.0604,0,2,7,10,12,17,20,30,45,56
SDSS J202820.32+005226.5,2MASS J20282035+0052265,Hawl02,14.298,12.304,L2,307.0848,0.8741,Gaia23,45.3425,-20.9888,0,0,0,2,6,8,10,17,19,25
2MASSW J1338261+414034,2MASSW J1338261+414034,Kirk00,14.221,12.309,L2.4,204.6089,41.676,Gaia23,92.443,72.5562,0,3,6,15,18,24,28,32,41,49
2MASSW J0717163+570543,2MASS J07171626+5705430,Wils03,14.636,12.309,L6.5,109.3178,57.0953,Gaia23,159.8163,25.9264,1,1,1,1,4,10,15,23,27,30
2MASS J00531899-3631102,2MASS J00531899-3631102,Kirk08,14.445,12.313,L4:,13.3291,-36.5195,Gaia23,300.6207,-80.6003,1,1,5,7,9,11,16,17,21,24
2MASS J21501592-7520367,SIPS J2150-7520,Reid08b,14.056,12.315,L1:,327.5657,-75.3435,Gaia23,315.9168,-36.8383,0,1,1,3,3,4,5,9,11,17
2MASS J11544223-3400390,2MASS J11544223-3400390,Bouy03,14.195,12.32,L0.8 INT-G,178.6759,-34.0109,Gaia23,289.7068,27.3996,0,2,4,7,9,10,13,17,23,26
2MASS J12565688+0146163,2MASS J12565688+0146163,Reid08b,14.48,12.324,L1.6,194.237,1.7712,Gaia23,306.1442,64.6085,0,3,4,7,13,22,25,31,43,49
DENIS J0031192-384035,SIPS J0031-3840,Mart10;Kirk11,14.101,12.327,L2 pec (blue),7.8304,-38.6767,Gaia23,321.6854,-77.7095,1,5,8,8,10,14,15,18,23,29
2MASSI J1017075+130839,2MASS J10170754+1308398,Cruz03,14.096,12.331,L1,154.2815,13.1444,Gaia23,226.3389,51.3726,0,0,2,5,11,18,22,28,37,43
WISEA J055007.94+161051.9,2MASS J05500772+1610556,Kirk14,14.441,12.331,L2,87.5323,16.1819,Gaia23,191.489,-5.6731,0,1,1,3,5,5,8,9,16,21
SIPS J0050-1538,SIPS J0050-1538,Deac05b,13.779,12.337,L0.5,12.6017,-15.6387,Gaia23,121.6857,-78.5079,1,1,4,6,10,13,19,26,33,41
2MASSI J1104012+195921,2MASS J11040127+1959217,Cruz03,14.38,12.339,L5.5,166.0053,19.9894,Gaia23,223.3519,64.4292,0,3,6,9,16,20,22,29,33,44
2MASS J15230657-2347526,2MASS J15230657-2347526,Kend07a,14.203,12.341,L2.5,230.7773,-23.798,Gaia23,342.1793,27.2847,0,2,6,9,15,23,26,29,34,40
