name,ra_j2000_formula,dec_j2000_formula
EROS-MP J0032-4405,8.2327,-44.0849
SIMP J09475068+0617139,146.9612,6.2872
2MASS J09593276+4523309,149.8865,45.3919
2MASSW J0337036-175807,54.2649,-17.9688
DENIS J2139136-352950,324.8069,-35.4974
WISEA J020047.29-510521.4,30.1962,-51.089
SDSS J163256.13+350507.2,248.2338,35.0854
2MASSW J0205034+125142,31.2645,12.8617
DENIS J0230450-095305,37.6875,-9.8848
2MASS J02192196+0506306,34.8415,5.1085
2MASSI J0453264-175154,73.3603,-17.8651
SDSS J151240.67+340350.1,228.1693,34.0639
2MASS J23254530+4251488,351.4388,42.8634
2MASS J02103857-3015313,32.6607,-30.2587
WISEA J174336.62+154901.3,265.9017,15.8173
2MASS J05184616-2756457,79.6924,-27.946
2MASSW J1728114+394859,262.0479,39.8165
2MASSI J1726000+153819,261.5003,15.6386
2MASS J08194351-0450071,124.9313,-4.8353
SIMP J23444256+0909020,356.1773,9.1506
PSO J277.3873+26.0116,277.3865,26.0118
2MASS J00182834-6703130,4.618,-67.0536
WISE J165842.56+510335.0,254.6786,51.0605
2MASS J15382417-1953116,234.6007,-19.8866
HD 89744B,155.562,41.2407
2MASSI J1526140+204341,231.5584,20.7279
2MASS J11124910-2044315,168.2046,-20.7421
2MASS J22134491-2136079,333.4372,-21.6023
2MASS J01205114-5200349,20.2131,-52.0097
SIMP J22355244+0418563,338.9685,4.3157
PSO J149.1907-19.1730,149.191,-19.173
2MASS J14182962-3538060,214.6235,-35.635
2MASSW J1438549-130910,219.7292,-13.1529
2MASS J00191296-6226005,4.8038,-62.4334
SIMP J21543454-1055308,328.644,-10.9253
2MASSW J2208136+292121,332.0569,29.356
WISEA J082640.45-164031.8,126.6684,-16.6754
2MASSW J0309088-194938,47.2871,-19.8275
2MASS J00040288-6410358,1.012,-64.1766
SDSS J115940.72+540938.6,179.9198,54.1607
PSO J039.6352-21.7746,39.635,-21.7742
SDSS J165329.69+623136.5,253.3737,62.5268
2MASSW J0918382+213406,139.6592,21.5682
SSSPM J0134-6315,23.3853,-63.2449
Gl 584C,230.8443,30.2489
2MASSW J1122362-391605,170.651,-39.2682
SDSS J133345.36-021600.2,203.4391,-2.2667
2MASS J11193254-1137466,169.8854,-11.6297
WISE J233527.07+451140.9,353.8629,45.1948
2MASS J21395208+2148397,324.967,21.811
2MASS J08254335-0029110,126.4306,-0.4864
2MASSW J1328550+211449,202.2293,21.2467
WISEPA J164715.59+563208.2,251.8158,56.535
2MASS J11181292-0856106,169.5539,-8.9363
2MASS J15515237+0941148,237.9682,9.6875
SDSS J142058.30+213156.6,215.2434,21.5321
